name,Abortion and Reproductive Health: Do you generally support pro-choice or pro-life legislation?,Abortion and Reproductive Health: Do you support the Supreme Court's decision to overturn Roe v. Wade?,Abortion: Do you generally support pro-choice or pro-life legislation?,"Budget, Spending, and Taxes: Do you support a decrease in income taxes in order to balance the budget?","Budget, Spending, and Taxes: Do you support a wealth tax in order to pay for public programs?","Budget, Spending, and Taxes: Do you support expanding federal funding to support social safety net programs such as Social Security and Medicare?",Budget: Do you support expanding federal funding to support entitlement programs such as Social Security and Medicare?,Budget: Do you support expanding federal funding to support social safety net programs such as Social Security and Medicare?,"Budget: In order to balance the budget, do you support an income tax increase on any tax bracket?","Budget: In order to balance the budget, do you support reducing defense spending?",Campaign Finance: Do you support the regulation of indirect campaign contributions from corporations and unions?,"Campaign Finance: Do you support the regulation of indirect campaign contributions from corporations, unions, and individuals?","Campaign Finance: Do you support the regulation of indirect campaign contributions from corporations,unions, and individuals?","Crime &amp; Public Safety: Do you support protecting government officials, including law enforcement officers, from personal liability in civil lawsuits concerning alleged misconduct?","Crime: Do you support the protection of government officials, including law enforcement officers, from personal liability in civil lawsuits concerning alleged misconduct?",Defense: Do you support increasing defense spending?,"Economy: Do you support federal spending as a means of promoting economic growth (e.g. grants, tax incentives)?",Economy: Do you support federal spending as a means of promoting economic growth?,Economy: Do you support lowering corporate taxes as a means of promoting economic growth?,Economy: Do you support providing financial relief to businesses AND/OR corporations negatively impacted by the state of national emergency for COVID-19?,Economy: Do you support the federal government increasing funding for affordable housing programs?,"Economy: Do you support the federal government taking action, beyond those of the Federal Reserve, to alleviate inflation?",Education: Do you support requiring states to adopt federal education standards?,Education: Do you support the forgiveness of federal student loan debt?,Elections: Do you support requiring a government-issued identification in order to vote at the polls?,"Energy & Environment: Do you support government funding for the development of renewable energy (e.g. solar, wind, geo-thermal)?","Energy & Environment: Do you support government funding for the development of renewable energy (e.g. solar, wind, thermal)?",Energy & Environment: Do you support the federal regulation of greenhouse gas emissions?,"Energy &amp; Environment: Do you support government funding for the development of renewable energy (e.g. solar, wind, geo-thermal)?",Energy &amp; Environment: Do you support the federal government allowing permits for drilling on public lands?,"Energy and Environment: Do you support government funding for the development of renewable energy (e.g. solar, wind, geo-thermal)?",Energy and Environment: Do you support the federal regulation of greenhouse gas emissions?,"Guns: Do you generally support gun-control legislation (e.g. red flag laws, boyfriend loopholes)?",Guns: Do you generally support gun-control legislation?,"Health Care: Do you support a government-run (e.g. single-payer) healthcare program, such as Medicare-for-All?","Health Care: Do you support a government-run (single-payer) healthcare program, such as Medicare-for-All?",Health Care: Do you support expanding paid family AND/OR medical leave benefits (e.g. maternity leave)?,Health Care: Do you support expanding paid family AND/OR medical leave opportunities?,Health Care: Do you support lowering the cost of prescription drugs?,"Health Care: Do you support repealing the 2010 Affordable Care Act (""Obamacare"")?","Health Care: Do you support requiring businesses to provide paid medical leave during public health crises, such as COVID-19?",Health Care: Should the government be able to regulate the cost of prescription drugs?,Immigration: Do you support increasing security along the southern US border?,"Immigration: Do you support requiring immigrants to return to their country of origin before they are eligible for citizenship, regardless of their immigration status?",Immigration: Do you support requiring immigrants who are unlawfully present to return to their country of origin before they are eligible for citizenship?,Immigration: Do you support the construction of a wall along the Mexican border?,Marijuana: Do you support the legalization of marijuana for recreational purposes?,National Security: Do you support economic intervention as a means of resolving international conflicts?,National Security: Do you support increased American intervention in Middle Eastern conflicts beyond air support?,National Security: Do you support reducing military intervention in Middle East conflicts?,National Security: Do you support the U.S. providing increased offensive military aid to Ukraine?,National Security: Do you support the US providing increased offensive military aid to Ukraine?,National Security: Should the United States use military force in order to prevent governments hostile to the U.S. from possessing a nuclear weapon?,"National Security: Should the United States use military force to prevent governments hostile to the U.S. from possessing a weapon of mass destruction (for example: nuclear, biological, chemical)?","Taxes: Do you support raising taxes, on any income or on any entity, to promote economic growth?","Technology and Communication: Do you generally support increased regulations on social media companies (e.g. Tik Tok, Facebook, etc.)?","Trade: Do you generally support removing barriers to international trade (for example: tariffs, quotas, etc.)?"
Maria Cantwell,Couldn't fetch response,No,Couldn't fetch response,No,Unknown Position,Yes,Couldn't fetch response,Couldn't fetch response,Couldn't fetch response,Couldn't fetch response,Couldn't fetch response,Yes,Couldn't fetch response,Yes,Couldn't fetch response,Unknown Position,Yes,Couldn't fetch response,Couldn't fetch response,Couldn't fetch response,Yes,Yes,Couldn't fetch response,Unknown Position,Unknown Position,Couldn't fetch response,Couldn't fetch response,Couldn't fetch response,Yes,No,Couldn't fetch response,Couldn't fetch response,Yes,Couldn't fetch response,Yes,Couldn't fetch response,Yes,Couldn't fetch response,Couldn't fetch response,Couldn't fetch response,Couldn't fetch response,Yes,No,No,Couldn't fetch response,Couldn't fetch response,Couldn't fetch response,Yes,Couldn't fetch response,Couldn't fetch response,Couldn't fetch response,Yes,Couldn't fetch response,Couldn't fetch response,Couldn't fetch response,Unknown Position,Couldn't fetch response
Thomas Carper,Couldn't fetch response,Couldn't fetch response,Couldn't fetch response,Couldn't fetch response,Couldn't fetch response,Couldn't fetch response,Couldn't fetch response,Couldn't fetch response,Couldn't fetch response,Couldn't fetch response,Couldn't fetch response,Couldn't fetch response,Couldn't fetch response,Couldn't fetch response,Couldn't fetch response,Couldn't fetch response,Couldn't fetch response,Couldn't fetch response,Couldn't fetch response,Couldn't fetch response,Couldn't fetch response,Couldn't fetch response,Couldn't fetch response,Couldn't fetch response,Couldn't fetch response,Couldn't fetch response,Couldn't fetch response,Couldn't fetch response,Couldn't fetch response,Couldn't fetch response,Couldn't fetch response,Couldn't fetch response,Couldn't fetch response,Couldn't fetch response,Couldn't fetch response,Couldn't fetch response,Couldn't fetch response,Couldn't fetch response,Couldn't fetch response,Couldn't fetch response,Couldn't fetch response,Couldn't fetch response,Couldn't fetch response,Couldn't fetch response,Couldn't fetch response,Couldn't fetch response,Couldn't fetch response,Couldn't fetch response,Couldn't fetch response,Couldn't fetch response,Couldn't fetch response,Couldn't fetch response,Couldn't fetch response,Couldn't fetch response,Couldn't fetch response,Couldn't fetch response,Couldn't fetch response
Sherrod Brown,Couldn't fetch response,No,Couldn't fetch response,Unknown Position,Yes,Yes,Couldn't fetch response,Couldn't fetch response,Couldn't fetch response,Couldn't fetch response,Couldn't fetch response,Yes,Couldn't fetch response,No,Couldn't fetch response,Yes,Yes,Couldn't fetch response,Couldn't fetch response,Couldn't fetch response,Yes,Yes,Couldn't fetch response,Yes,No,Couldn't fetch response,Couldn't fetch response,Couldn't fetch response,Yes,No,Couldn't fetch response,Couldn't fetch response,Yes,Couldn't fetch response,Unknown Position,Couldn't fetch response,Yes,Couldn't fetch response,Couldn't fetch response,Couldn't fetch response,Couldn't fetch response,Yes,Yes,No,Couldn't fetch response,Couldn't fetch response,Couldn't fetch response,Yes,Couldn't fetch response,Couldn't fetch response,Couldn't fetch response,Yes,Couldn't fetch response,Couldn't fetch response,Couldn't fetch response,Yes,Couldn't fetch response
Robert Casey,Couldn't fetch response,No,Couldn't fetch response,Unknown Position,Yes,Yes,Couldn't fetch response,Couldn't fetch response,Couldn't fetch response,Couldn't fetch response,Couldn't fetch response,Yes,Couldn't fetch response,No,Couldn't fetch response,Yes,Yes,Couldn't fetch response,Couldn't fetch response,Couldn't fetch response,Yes,Yes,Couldn't fetch response,Yes,No,Couldn't fetch response,Couldn't fetch response,Couldn't fetch response,Yes,Unknown Position,Couldn't fetch response,Couldn't fetch response,Yes,Couldn't fetch response,Unknown Position,Couldn't fetch response,Yes,Couldn't fetch response,Couldn't fetch response,Couldn't fetch response,Couldn't fetch response,Yes,Yes,No,Couldn't fetch response,Couldn't fetch response,Couldn't fetch response,Yes,Couldn't fetch response,Couldn't fetch response,Couldn't fetch response,Yes,Couldn't fetch response,Couldn't fetch response,Couldn't fetch response,Unknown Position,Couldn't fetch response
Benjamin Cardin,Couldn't fetch response,Couldn't fetch response,Pro-choice,Couldn't fetch response,Couldn't fetch response,Couldn't fetch response,Couldn't fetch response,Couldn't fetch response,Yes,Unknown Position,Unknown Position,Couldn't fetch response,Couldn't fetch response,Couldn't fetch response,Couldn't fetch response,Couldn't fetch response,Couldn't fetch response,Yes,No,Couldn't fetch response,Couldn't fetch response,Couldn't fetch response,Yes,Couldn't fetch response,Couldn't fetch response,Couldn't fetch response,Yes,Yes,Couldn't fetch response,Couldn't fetch response,Couldn't fetch response,Couldn't fetch response,Couldn't fetch response,Yes,Couldn't fetch response,Couldn't fetch response,Couldn't fetch response,Couldn't fetch response,Couldn't fetch response,No,Couldn't fetch response,Couldn't fetch response,Couldn't fetch response,Couldn't fetch response,Unknown Position,No,Unknown Position,Couldn't fetch response,No,Couldn't fetch response,Couldn't fetch response,Couldn't fetch response,No,Couldn't fetch response,Couldn't fetch response,Couldn't fetch response,Couldn't fetch response
Amy Klobuchar,Couldn't fetch response,No,Couldn't fetch response,No,Yes,Yes,Couldn't fetch response,Couldn't fetch response,Couldn't fetch response,Couldn't fetch response,Couldn't fetch response,Yes,Couldn't fetch response,Unknown Position,Couldn't fetch response,No,Yes,Couldn't fetch response,Couldn't fetch response,Couldn't fetch response,Yes,Yes,Couldn't fetch response,Yes,Unknown Position,Couldn't fetch response,Couldn't fetch response,Couldn't fetch response,Yes,Unknown Position,Couldn't fetch response,Couldn't fetch response,Yes,Couldn't fetch response,No,Couldn't fetch response,Yes,Couldn't fetch response,Couldn't fetch response,Couldn't fetch response,Couldn't fetch response,Yes,Unknown Position,No,Couldn't fetch response,Couldn't fetch response,Couldn't fetch response,Yes,Couldn't fetch response,Couldn't fetch response,Couldn't fetch response,Yes,Couldn't fetch response,Couldn't fetch response,Couldn't fetch response,Yes,Couldn't fetch response
Debbie Stabenow,Couldn't fetch response,Couldn't fetch response,Pro-choice,Couldn't fetch response,Couldn't fetch response,Couldn't fetch response,Couldn't fetch response,Couldn't fetch response,Unknown Position,No,Yes,Couldn't fetch response,Couldn't fetch response,Couldn't fetch response,Couldn't fetch response,Couldn't fetch response,Couldn't fetch response,Yes,No,Couldn't fetch response,Couldn't fetch response,Couldn't fetch response,Yes,Couldn't fetch response,Couldn't fetch response,Couldn't fetch response,Yes,Yes,Couldn't fetch response,Couldn't fetch response,Couldn't fetch response,Couldn't fetch response,Couldn't fetch response,Yes,Couldn't fetch response,Couldn't fetch response,Couldn't fetch response,Couldn't fetch response,Couldn't fetch response,No,Couldn't fetch response,Couldn't fetch response,Couldn't fetch response,Couldn't fetch response,No,No,Yes,Couldn't fetch response,Unknown Position,Couldn't fetch response,Couldn't fetch response,Couldn't fetch response,Unknown Position,Couldn't fetch response,Couldn't fetch response,Couldn't fetch response,Couldn't fetch response
Jon Tester,Couldn't fetch response,No,Couldn't fetch response,Unknown Position,Unknown Position,Yes,Couldn't fetch response,Couldn't fetch response,Couldn't fetch response,Couldn't fetch response,Couldn't fetch response,Yes,Couldn't fetch response,Yes,Couldn't fetch response,Yes,Yes,Couldn't fetch response,Couldn't fetch response,Couldn't fetch response,Yes,Yes,Couldn't fetch response,Unknown Position,Unknown Position,Couldn't fetch response,Couldn't fetch response,Couldn't fetch response,Yes,Yes,Couldn't fetch response,Couldn't fetch response,Yes,Couldn't fetch response,Unknown Position,Couldn't fetch response,Yes,Couldn't fetch response,Couldn't fetch response,Couldn't fetch response,Couldn't fetch response,Yes,Yes,No,Couldn't fetch response,Couldn't fetch response,Couldn't fetch response,Yes,Couldn't fetch response,Couldn't fetch response,Couldn't fetch response,Yes,Couldn't fetch response,Couldn't fetch response,Couldn't fetch response,Unknown Position,Couldn't fetch response
Bernard Sanders,Couldn't fetch response,No,Couldn't fetch response,No,Yes,Yes,Couldn't fetch response,Couldn't fetch response,Couldn't fetch response,Couldn't fetch response,Couldn't fetch response,Yes,Couldn't fetch response,No,Couldn't fetch response,No,Yes,Couldn't fetch response,Couldn't fetch response,Couldn't fetch response,Yes,Yes,Couldn't fetch response,Yes,No,Couldn't fetch response,Couldn't fetch response,Couldn't fetch response,Yes,No,Couldn't fetch response,Couldn't fetch response,Yes,Couldn't fetch response,Yes,Couldn't fetch response,Yes,Couldn't fetch response,Couldn't fetch response,Couldn't fetch response,Couldn't fetch response,Yes,No,No,Couldn't fetch response,Couldn't fetch response,Couldn't fetch response,Yes,Couldn't fetch response,Couldn't fetch response,Couldn't fetch response,Unknown Position,Couldn't fetch response,Couldn't fetch response,Couldn't fetch response,Unknown Position,Couldn't fetch response
Sheldon Whitehouse,Couldn't fetch response,No,Couldn't fetch response,No,Yes,Yes,Couldn't fetch response,Couldn't fetch response,Couldn't fetch response,Couldn't fetch response,Couldn't fetch response,Yes,Couldn't fetch response,Unknown Position,Couldn't fetch response,Unknown Position,Yes,Couldn't fetch response,Couldn't fetch response,Couldn't fetch response,Yes,Yes,Couldn't fetch response,Yes,Unknown Position,Couldn't fetch response,Couldn't fetch response,Couldn't fetch response,Yes,Yes,Couldn't fetch response,Couldn't fetch response,Yes,Couldn't fetch response,Yes,Couldn't fetch response,Yes,Couldn't fetch response,Couldn't fetch response,Couldn't fetch response,Couldn't fetch response,Yes,No,No,Couldn't fetch response,Couldn't fetch response,Couldn't fetch response,Yes,Couldn't fetch response,Couldn't fetch response,Couldn't fetch response,Yes,Couldn't fetch response,Couldn't fetch response,Couldn't fetch response,Unknown Position,Couldn't fetch response
